"";"max_depth";"max_features";"min_impurity_decrease";"min_samples_leaf";"min_samples_split";"min_weight_fraction_leaf";"dataset";"metric"
"1";9;0,666854203908685;0,00913679330689078;0,0112340935736214;0,0198284626649004;0,0149388391284152;"boston";"mae"
"2";14;0,536622871390227;0,219796469543308;0,0144716006302605;0,0101755667220763;0,0133670724083014;"boston";"mse"
"3";14;0,109614758905173;0,000543668161326961;0,01117368547886;0,0105966915476002;0,0178557144078004;"breast";"acc"
"4";10;0,461170498677259;0,000451965103539353;0,0102979957791914;0,0314301508604698;0,0191768542463554;"breast";"nll"
"5";9;0,787768030854814;0,00181053708570152;0,0185139950081404;0,0393716397997677;0,0202183171510527;"clf-1";"acc"
"6";12;0,972749985534842;0,000682141109735637;0,0119575117144732;0,0390908339070461;0,0112911005964222;"clf-1";"nll"
"7";4;0,726876265854075;0,0010079164116713;0,0109586816102424;0,0221964395471088;0,0147751544398867;"clf-2";"acc"
"8";9;0,633361314324756;0,000231957311373366;0,010143259229332;0,0318933703733183;0,0109377783302378;"clf-2";"nll"
"9";8;0,937281040140101;0,00128989433208735;0,0115543543121428;0,0194177775959589;0,0121709105976568;"clf-3";"acc"
"10";9;0,97656339372846;0,000261240684520647;0,0105706617410543;0,0189047878302742;0,0212785276602217;"clf-3";"nll"
"11";12;0,984807063403585;0,00567779849245282;0,0117478618650088;0,0148138645850437;0,0418504680995014;"clf-4";"acc"
"12";13;0,108679232011587;0,00188526085097878;0,029790394295272;0,0217861944650468;0,0231272970504041;"clf-4";"nll"
"13";11;0,742769323346019;0;0,0394093161125022;0,01;0,0199508103651319;"clf-5";"acc"
"14";15;0,547780994514809;0,000107816351049981;0,0425993954601592;0,057272116534605;0,0253834221768617;"clf-5";"nll"
"15";11;0,691677478108364;0,170390376529782;0,0174721126674181;0,0345878135875793;0,0211431174828056;"diabetes";"mae"
"16";6;0,500846760581119;0,307524177357719;0,0307967931893833;0,0711407278760081;0,0427003551473819;"diabetes";"mse"
"17";10;0,371262613882685;0,000183718991428864;0,0100928452658413;0,0162153968203029;0,0122051759587243;"digits";"acc"
"18";8;0,9162565335678;0,000412437165284665;0,0102496890784481;0,0138097580346734;0,0117724993000627;"digits";"nll"
"19";3;0,963387520531506;0,0650429909734974;0,0145663717356355;0,0152412960286346;0,281481474928729;"iris";"acc"
"20";15;0,937790559982312;0,00412646404549478;0,0454010605816271;0,207038740494048;0,0799712732320534;"iris";"nll"
"21";14;0,211753591712454;0,0177205486849867;0,014506442246898;0,049499838289871;0,142855763208461;"wine";"acc"
"22";12;0,953893226935891;0,00122036320553074;0,0140887401464197;0,125545195618921;0,0104225306855202;"wine";"nll"
